"MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
,"Unclustered","0.5","C8orf76","true","C8orf76"
,"Unclustered","1.6666666666666667","NUDCD1","true","NUDCD1"
,"Unclustered","1.6666666666666667","MTERF3","true","MTERF3"
,"Unclustered","0.6666666666666666","NSMCE2","true","NSMCE2"
,"Unclustered","0.0","CHCHD7","false","CHCHD7"
"Cluster 3","Clustered","1.6666666666666667","UQCRB","true","UQCRB"
,"Unclustered","0.0","CISD1","false","CISD1"
,"Unclustered","0.0","EMC2","false","EMC2"
,"Unclustered","2.142857142857143","COPS5","true","COPS5"
"Cluster 2","Clustered","1.6666666666666667","EIF3E","true","EIF3E"
"Cluster 1","Clustered","2.7","DCAF13","true","DCAF13"
"Cluster 3","Clustered","1.5333333333333332","MRPL13","true","MRPL13"
"Cluster 1","Clustered","2.4000000000000004","POLR2K","true","POLR2K"
,"Unclustered","3.0","UBE2V2","true","UBE2V2"
,"Unclustered","3.0","ENY2","true","ENY2"
"Cluster 2","Clustered","1.6666666666666667","EIF3H","true","EIF3H"
,"Unclustered","2.4000000000000004","ELOC","true","ELOC"
"Cluster 1","Seed","3.0","TATDN1","true","TATDN1"
,"Unclustered","0.0","DERL1","false","DERL1"
,"Unclustered","0.6666666666666666","SQLE","false","SQLE"
,"Unclustered","2.0","EBAG9","true","EBAG9"
"Cluster 2","Seed","2.0","PABPC1","true","PABPC1"
,"Unclustered","0.5","MED30","true","MED30"
,"Unclustered","2.0","TMEM70","true","TMEM70"
,"Unclustered","0.0","ESRP1","false","ESRP1"
,"Unclustered","0.0","LACTB2","false","LACTB2"
,"Unclustered","0.0","XKR9","false","XKR9"
,"Unclustered","0.0","LAPTM4B","false","LAPTM4B"
,"Unclustered","0.5","YWHAZ","false","YWHAZ"
,"Unclustered","2.0","MRPL15","true","MRPL15"
"Cluster 3","Seed","1.6666666666666667","NDUFB9","true","NDUFB9"
,"Unclustered","0.0","MYBL1","false","MYBL1"
,"Unclustered","0.5","NDUFAF6","true","NDUFAF6"
,"Unclustered","0.0","PABPC3","false","PABPC3"
,"Unclustered","0.6666666666666666","PFDN4","true","PFDN4"
,"Unclustered","0.0","PRDX1","false","PRDX1"
,"Unclustered","0.0","TRMT12","false","TRMT12"
,"Unclustered","0.0","WDYHV1","false","WDYHV1"
,"Unclustered","0.0","ZNF706","false","ZNF706"
