Name,Module,Score
MRPL20,blue,27
TUFM,blue,26
MRPL12,blue,25
MRPL43,blue,25
MRPL21,blue,24
MRPL41,blue,24
AURKAIP1,blue,24
NDUFB7,blue,23
MRPS34,blue,23
ATP5F1D,blue,22
MRPL13,florawhite,13
POLR2K,florawhite,9
COPS5,florawhite,9
ELOC,florawhite,7
NUDCD1,florawhite,6
TATDN1,florawhite,5
ENY2,florawhite,5
DCAF13,florawhite,5
MTERF3,florawhite,4
UBE2V2,florawhite,4
COL5A1,magenta,44
COL4A1,magenta,43
COL6A2,magenta,42
COL6A1,magenta,41
BGN,magenta,40
COL6A3,magenta,39
FBN1,magenta,38
POSTN,magenta,37
DCN,magenta,37
LUM,magenta,35
KDR,pink,23
PECAM1,pink,22
CDH5,pink,18
FLT4,pink,16
VWF,pink,15
TIE1,pink,14
GAPDH,pink,13
FGF7,pink,13
SOX18,pink,13
GJA4,pink,12
